subject,day,ebr,left_ebr,right_ebr,ibi,left_ibi,right_ibi,ibi_var,left_ibi_var,right_ibi_var,onset_diff,offset_diff,duration_diff,bd,left_bd,right_bd,bdv,left_bdv,right_bdv,left_pupil_size,right_pupil_size,left_pupil_size_var,right_pupil_size_var,left_missing,right_missing,left_missing_exb,right_missing_exb
sub-026,d01,2.9330291673456084,2.9345740478310485,4.138168860279326,20.590278823904516,20.590278823904516,14.256373273340667,16.22678938694373,16.23497284790623,15.542690087211689,0.005303030572618313,,0.026969698340301627,0.24166667894489643,0.24500001244758515,0.2261111225991499,0.08676523435793165,0.08616472438759751,0.10447104211173917,2.340338187198052,2.42865551634779,0.2286752831394369,0.21254880620870834,0.050791509047538735,0.07135026383634918,0.03935860058309038,0.05674890971736983
sub-026,d02,4.258507156657861,4.446182664004446,3.7995224211401206,16.187545316573694,16.151957089420648,18.337662471775488,14.739686135437104,13.920607624905998,14.348714324527302,0.014999996568479088,,0.05869046276432398,0.20814810053262692,0.18879625310768866,0.22114578274448604,0.07238844359284766,0.07626464023322396,0.07363506016337804,2.1648212200708135,2.219497617484349,0.21671900131540134,0.20771529085278498,0.13431433372886561,0.09956571758994344,0.12214117491160757,0.08687455201450418
sub-026,d03,1.9555534095435838,1.9650416661612544,2.616611851071175,25.804402650368615,25.804402650368615,18.766686775863242,17.755328069888318,17.755328069888318,16.06671390283288,0.029166697919777107,,0.07229174412964312,0.20851874195401857,0.20851874195401857,0.2476391542431884,0.0469597417578424,0.0469597417578424,0.07370952587847111,2.534258751327381,2.6058204062196184,0.1985245663618703,0.20456311943767497,0.015018464832613586,0.017646846543407393,0.008300152770927813,0.0069949838207167
sub-027,d01,10.50411809175188,14.879001225664853,50.50159040861268,10.90715338222106,8.461674831930784,2.9347675378456617,11.162912235449923,10.335673458974066,5.155262017092107,0.03215689377633252,,0.0631373158274287,0.19825776707115106,0.19310363461484265,0.18455444165611393,0.08508838631814848,0.07721168617620935,0.07571903205645722,2.7499299963971238,2.7307663133431164,0.21594659765125407,0.21249409253269888,0.597989798618964,0.6880157832687727,0.5779539494261723,0.6312525563602243
sub-027,d02,8.180689352930196,16.938671255343746,13.910867405144812,6.581432825028228,4.973000073375528,4.334114299408833,10.431620895685844,6.812079151858583,8.880454887109066,0.02666671963067659,,0.05023819502093829,0.19273847805249847,0.17528606243577088,0.1729765340390995,0.09701845137561665,0.07407484742649709,0.07664571153755569,2.372073663816721,2.250774718665112,0.26647264200864657,0.22132714799673792,0.5744783238993522,0.3721540155074199,0.5525465733895563,0.34618600482426326
sub-027,d03,4.212410090511753,12.192230839570563,6.4218404622484195,9.63003100832293,9.284282768590542,7.00365891514395,8.963220140929886,18.9683088477353,8.704792987953056,0.005238112104312417,,0.03369058467277292,0.16882407301925603,0.21094512367950907,0.1503628030028346,0.05091584686240819,0.08388917740499803,0.04557207990346723,2.4266714896330033,2.277000898019496,0.23181473458406102,0.2028525437539441,0.48987742238154236,0.23684906954084517,0.4672204111582923,0.22450710324668294
sub-028,d01,24.236730859558477,84.11718890419986,16.553773234529473,6.470050489284491,7.268389333170298,6.57614431728376,12.02362354741784,18.941800995309308,8.681378854379618,0.016000026723486372,,0.045666742940375114,0.23236472919690937,0.18534218991370813,0.19974392336902944,0.11567718745560612,0.08871861153200201,0.07931705104204093,2.4531422519847412,2.2282386078110106,0.36044494566297286,0.2134785581195803,0.92546748224199,0.6785033350775579,0.8996108574968574,0.6599183221763111
sub-028,d02,17.144938227796093,14.296545001624608,13.277483600727098,5.456300502228405,11.937223320991118,9.998210796834124,8.16925140634584,15.054308538283074,12.087358994312266,0.008333334102644585,,0.027666669215250295,0.2019608029028556,0.16598486376361424,0.17166668246656108,0.10129215452731512,0.05786971943444868,0.05442338933851573,2.9675176308545588,2.973408782442562,0.4925468518516267,0.4519123093113081,0.6798505981487162,0.5605696998129469,0.6668050017141517,0.5433860810883961
sub-028,d03,18.499370194205788,16.698281710812342,18.712819821727667,3.3708032144625766,4.137021116767397,3.4130424213330115,4.859399256707355,6.0349622491103805,4.837161126339148,0.01269444725063901,,0.07036112666901317,0.17526426639534937,0.2394527892649231,0.18144036933706417,0.05917138556980443,0.08494434161659548,0.06782318998095814,3.7435209744571276,3.813196929785651,0.3443687006325365,0.36066640875734457,0.18745218517514534,0.11393030330411734,0.12986958224149875,0.061299358453058644
sub-029,d01,36.43530602460981,73.33012702633886,64.32641575800211,3.4231074936630224,1.8891944170578567,2.146321189181125,6.359246572578421,3.5321122628860206,4.0519458944613165,0.028707639020727323,,0.04520432732059427,0.1936414033286299,0.20421407287745788,0.1838330201397428,0.07800772913642956,0.09703227420983192,0.06660903593408617,2.937672190358455,2.8532234083821977,0.4807660370039531,0.526207140966503,0.6795947500617392,0.6555014124719162,0.5741863981062637,0.5718915077008331
sub-029,d02,9.434134747234664,9.185255114082143,11.19687198496928,6.537234859576464,6.767619920326372,5.7355319208879605,9.420574408003935,9.697203381593365,8.936676166264172,0.010583353792503658,,0.03750007249277587,0.15655069023045523,0.1552086333725356,0.18483028927468176,0.033098842131789215,0.03230973485850622,0.04294608204223276,2.798390521404786,2.7337425261664547,0.282424934561245,0.24230468935289434,0.07716605682112739,0.0827661870286758,0.0549524079354267,0.05030472183206843
sub-029,d03,9.384889600232801,9.182279172866123,9.739660833528045,5.955864664229596,6.101129656040074,5.817394943559933,13.325329643904341,13.4549386017446,11.568473695001533,0.011291726066860974,,0.03712519529743759,0.17186136919511671,0.17773903023643947,0.18962220963108353,0.04966217936902202,0.048834309963308876,0.052315201079091024,3.194247495329193,3.1549349613031334,0.2966668294030325,0.30156442366241676,0.03489898929057595,0.05029453927792702,0.00817361554492778,0.020406934020792425
sub-033,d01,21.467749228379894,21.424272818455364,22.60731319554849,2.9835956684619305,3.0514046609269743,3.442631754230276,2.88421358616507,2.885086169531113,3.439433641287586,0.011166678178536433,,0.04169448742771541,0.2606412943430689,0.2546257306650782,0.2585656674055838,0.1135037515139768,0.11388091475517903,0.11305037551672913,2.8989519984565106,3.0388619112815913,0.35703880072634364,0.3978646287015075,0.18177115912043498,0.31661093201174034,0.10052687292498677,0.2433719867199153
sub-033,d02,16.2342077949966,13.45261908425472,19.72382585403963,4.3553488103042906,5.40063252477732,5.194747649941111,4.91845747684198,5.32351652281171,6.9828052074465035,0.014382713896608309,,0.07129628562149636,0.2621428178956396,0.2562744714355087,0.25555551729444737,0.11765356641584494,0.10821867036088527,0.0942481479369558,2.8570895520137882,3.0347080272569102,0.2754671139553449,0.36868223220039414,0.22593684210526316,0.45663157894736844,0.17907368421052633,0.4071518796992481
sub-033,d03,10.081538020684086,24.322526840288408,8.1374321880651,6.404529673393318,4.291141495027876,8.06924981229906,6.7887402819483595,8.292869639122252,8.03168606849426,0.031140379388249897,,0.04614039312237812,0.24852735932975964,0.21026060917768064,0.2577943536788927,0.11865928950050696,0.09250957124022369,0.1280260545093323,2.753790566767839,3.1057381440320766,0.252714219729951,0.27563954966793264,0.47844417980825904,0.1267547183428963,0.43026836514982014,0.0953291713278722
sub-035,d01,36.401160737165064,33.609897871373136,34.51872925557136,1.8913708459519982,2.2813633037268404,2.377966772319825,2.004947700089498,2.6290425752315567,3.1221055504324524,0.0024011337900601113,,0.0618927545155495,0.15569659644832626,0.14798574431045816,0.1695423961385801,0.07225683423207029,0.06250864859471209,0.09253106110277941,2.5564395172376506,2.3935088328774783,0.36447388920397805,0.3255624090183248,0.31886519696422116,0.48356222141910615,0.25805324659679557,0.4283520057824359
sub-035,d03,28.17594819261139,35.96886277550777,29.76417013346632,2.208871698489301,2.0426908685791902,2.1612096960408382,1.640760340534301,1.8395839305664488,1.592724091914902,0.00953275304808277,,0.07376980136548333,0.14293074877074222,0.20148100342600234,0.14050327585587977,0.04887802527121365,0.09410915498357704,0.0442369502059906,2.8506381463578285,2.6537658553145183,0.2628954742227245,0.21116854593466727,0.28893506806408864,0.14527165401758824,0.192169618118299,0.08205035537887001
sub-036,d01,4.986660082026945,3.96327851205803,4.983628659476117,10.020311389483554,12.969422584105118,10.021826542263046,9.927674560361798,13.853387079758276,9.925105738877203,0.0025000020848690635,,0.01722223659210916,0.1558696952447265,0.16592606434359267,0.17144941838974456,0.03488378902731618,0.037002792785448685,0.03058729019241596,2.2414279584120407,2.261110715687456,0.14245320633637182,0.1579448421907756,0.027516039999278426,0.015044827814290783,0.016848764003054666,0.0009560861800448579
sub-036,d02,8.899930054750246,8.697805616124766,8.900091051066987,6.448419892011225,6.613678521678174,6.44837822532354,6.388360997565573,6.5476885098249875,6.386734279841465,0.002875001437860192,,0.04000002000593668,0.14682934173381398,0.15466674402796343,0.18187000966583317,0.02254717617046284,0.05277338878406318,0.056057483951690946,2.471573182027918,2.42921427662062,0.18436454904341343,0.1808235607793663,0.024953321688851414,0.027838342468228635,0.0028368367162560984,0.0011383484912365234
sub-036,d03,12.29756377808487,45.238444300165455,16.564267734863453,6.3721862533166975,2.302554696576744,5.4800801778523605,12.183722477684249,4.023972313412962,9.60930209552838,0.030250074581272202,,0.0660001627249585,0.1856822759827165,0.17963933179247155,0.18542529376852554,0.07550297740938025,0.08563676641035436,0.08015109230014061,2.1705487498071636,2.1738010937027474,0.12176076426718427,0.14101984274523832,0.5026527592305193,0.36707931810252525,0.42557235836912455,0.33325513408164004
sub-037,d01,6.3133069271006566,8.483229911240281,6.754875494812787,9.754168983611375,7.187238549049557,9.103891051370617,7.422694654255668,4.720189504346909,6.280161779543742,0.00711115619475701,,0.03994469769058924,0.15890905344939052,0.19547132474457238,0.16145263650187483,0.02848784636325256,0.029354463587965802,0.03077205166506975,2.3004203910958094,2.2283085971907517,0.2602672059129574,0.25204133740922563,0.03029572823605246,0.02262089073898926,0.0029759573968204246,0.00471695271601294
