timestamps,pupil_size_left,pupil_size_right
59299.418878392964,,
59299.420545062414,,
59299.422211731864,,
59299.423878401314,,
59299.425545070764,,
59299.427211740214,,
59299.42887840967,,
59299.43054507912,,
59299.43221174857,,
59299.43387841802,,2.348709
59299.43554508747,,
59299.43721175692,,
59299.43887842637,,2.6214294
59299.44054509582,,
59299.44221176527,,
59299.44387843472,,1.7403107
59299.44554510417,,
59299.44721177362,,1.8213348
59299.44887844307,,
59299.45054511252,,1.9887848
59299.45221178197,,1.978363
59299.45387845142,,2.2091827
59299.45554512087,,2.0574799
59299.45721179032,,2.0851746
59299.45887845977,,2.101593
59299.46054512923,,2.1143036
59299.46221179868,,2.1206665
59299.46387846813,,2.1391907
59299.46554513758,,
59299.46721180703,,2.17276
59299.46887847648,,
59299.47054514593,,2.1960602
59299.47221181538,,
59299.47387848483,,2.210144
59299.47554515428,,2.2273102
59299.47721182373,,2.2402802
59299.47887849318,,
59299.48054516263,,2.2719421
59299.48221183208,,2.2718048
59299.48387850153,,2.3027496
59299.48554517098,,2.3007202
59299.48721184043,,2.302887
59299.48887850988,,2.3247223
59299.49054517934,,2.30513
59299.49221184879,,
59299.49387851824,,2.3318634
59299.49554518769,,2.3273468
59299.49721185714,,2.3303223
59299.49887852659,,2.3325348
59299.50054519604,,
59299.50221186549,,2.324112
59299.50387853494,,
59299.50554520439,,2.3301697
59299.50721187384,,2.3137665
59299.50887854329,,2.3268585
59299.51054521274,,2.3216248
59299.51221188219,2.4661713,2.285736
59299.51387855164,2.369522,2.2935028
59299.51554522109,,2.2963562
59299.51721189054,2.3658295,2.2901764
59299.51887855999,2.417038,2.2784576
59299.52054522945,2.3784332,2.2715454
59299.5222118989,2.3848114,2.2701416
59299.52387856835,2.3855133,2.2851868
59299.5255452378,2.3727264,2.4248047
59299.52721190725,2.3609161,2.421051
59299.5288785767,2.3607788,
59299.53054524615,2.3517303,
59299.5322119156,2.330597,
59299.53387858505,2.3378296,
59299.5355452545,2.3303833,
59299.53721192395,2.3274994,
59299.5388785934,2.3338165,
59299.54054526285,2.338272,
59299.5422119323,2.3362885,
59299.54387860175,,2.2724915
59299.5455452712,,2.2662659
59299.54721194065,2.3519897,2.2761688
59299.5488786101,2.383194,2.2582703
59299.55054527955,2.3447723,2.348709
59299.552211949005,2.3403625,2.271759
59299.553878618455,2.3436737,2.3550415
59299.555545287905,2.3535767,2.3502808
59299.557211957355,2.3302155,2.346115
59299.558878626805,2.3415985,2.3438873
59299.560545296255,2.335083,2.3513794
59299.562211965706,2.3438416,2.35318
59299.563878635156,2.3538818,2.3518066
59299.565545304606,2.3426208,2.347931
59299.567211974056,2.3506775,2.2851562
59299.568878643506,2.3880005,2.2754974
59299.570545312956,2.3943176,2.2731934
59299.572211982406,2.3462372,2.2808685
59299.573878651856,2.3562927,
59299.575545321306,2.3649902,2.3728027
59299.577211990756,2.3479156,2.3624725
59299.578878660206,2.3461304,2.3576965
59299.580545329656,2.3530273,2.3641815
59299.58221199911,2.3661652,2.3644562
59299.58387866856,2.3552551,2.3647614
59299.58554533801,2.352295,2.3614502
59299.587212007464,2.3565521,2.3645325
59299.588878676914,2.3518066,2.3789062
59299.590545346364,2.3636627,2.3674927
59299.592212015814,2.352234,2.36969
59299.593878685264,2.3592682,2.3721313
59299.595545354714,2.360138,2.3637238
59299.597212024164,2.368744,2.3763123
59299.598878693614,2.3580627,2.3711853
59299.600545363064,2.3641968,2.375824
59299.602212032514,2.353775,2.3732605
59299.603878701964,2.3662262,2.372116
59299.605545371414,2.3531647,2.371994
59299.607212040864,2.3570557,2.3716125
59299.608878710314,2.3613129,2.3772583
59299.610545379765,2.370697,2.3715973
59299.61221204922,2.366684,2.3654938
59299.61387871867,2.3729553,2.373001
59299.61554538812,2.3685455,2.3827362
59299.61721205757,2.36586,2.3798065
59299.61887872702,2.3622284,2.3769836
59299.62054539647,2.3603058,2.3771362
59299.62221206592,2.3593292,2.3959045
59299.62387873537,2.3647308,2.3778534
59299.62554540482,2.3741913,2.3775482
59299.62721207427,2.365799,2.3731995
59299.62887874372,2.3712463,2.3863678
59299.63054541317,2.3553314,2.3825378
59299.63221208262,2.3745728,2.3894806
59299.63387875207,2.3692322,2.3947906
59299.63554542152,2.368805,2.3133392
59299.63721209097,2.3415222,2.3060608
59299.63887876042,2.5037842,2.3830414
59299.64054542987,2.4900513,2.3757477
59299.64221209933,2.40477,2.3014526
59299.64387876878,2.373001,2.2966156
59299.64554543823,2.3768463,2.3072357
59299.64721210768,2.3632202,2.311615
59299.64887877713,2.3609161,2.3088837
59299.65054544658,2.4136353,2.3054657
59299.65221211603,2.4200897,2.2948303
59299.65387878548,2.408249,2.2979279
59299.65554545493,2.379074,2.3034973
59299.65721212438,2.4117584,2.3104553
59299.65887879383,,2.3153229
59299.66054546328,,2.3034668
59299.66221213273,,2.31102
59299.66387880218,,2.3165436
59299.66554547163,2.370575,
59299.66721214108,2.418396,2.3172302
59299.66887881053,2.4253387,2.3099213
59299.67054547998,2.4186554,2.306839
59299.67221214943,2.4220276,2.3138733
59299.67387881889,2.3697968,2.3948975
59299.67554548834,2.3770294,2.3851166
59299.67721215779,2.387741,2.399002
59299.67887882724,2.3816833,2.3947601
59299.68054549669,2.3819122,2.3115997
59299.68221216614,2.3675995,2.318222
59299.68387883559,2.4368134,2.3110352
59299.68554550504,2.4285736,2.3208466
59299.68721217449,2.425415,2.3123627
59299.68887884394,2.4324799,2.3118134
59299.69054551339,2.418686,2.3118134
59299.69221218284,2.4194183,2.320984
59299.69387885229,2.3882446,2.3894043
59299.69554552174,2.391388,2.4166565
59299.69721219119,2.392044,2.3933563
59299.69887886064,2.4083252,2.3190155
59299.70054553009,2.3991394,2.3256683
59299.70221219954,2.4407501,2.322113
59299.703878869,2.432846,2.3106232
59299.70554553845,2.4311523,2.3308716
59299.7072122079,2.4002686,2.4213104
59299.70887887735,2.4018097,2.4051056
59299.7105455468,2.3958282,2.412262
59299.71221221625,2.3990936,2.4163055
59299.7138788857,2.4003296,2.3272858
59299.71554555515,2.4058075,2.3164215
59299.7172122246,2.4069977,2.323532
59299.71887889405,2.4532776,2.3452148
59299.7205455635,2.4432373,2.3300018
59299.72221223295,2.3981476,2.3362885
59299.7238789024,2.4537048,2.3241272
59299.72554557185,2.4087067,2.4130096
59299.7272122413,2.4108124,2.4203796
59299.72887891075,2.4033356,2.4286652
59299.7305455802,2.4210663,2.4166565
59299.73221224965,2.4084015,2.4222565
59299.733878919105,2.3987274,2.3423004
59299.735545588555,2.4269562,
59299.737212258005,2.4528046,2.3314056
59299.738878927456,2.4126587,2.3343964
59299.740545596906,2.4451904,2.3421478
59299.742212266356,2.4172516,2.3416138
59299.743878935806,2.4132233,2.3314362
59299.745545605256,2.4470825,2.3288727
59299.747212274706,,2.332901
59299.748878944156,2.4408417,2.332611
59299.750545613606,2.4020996,2.3341827
59299.752212283056,2.4457245,2.3240051
59299.753878952506,,2.3286285
59299.755545621956,2.4153595,2.3326416
59299.757212291406,2.4692535,2.3440247
59299.758878960856,,2.378891
59299.760545630306,2.459961,2.3758698
59299.762212299756,2.4807587,2.4127502
59299.763878969214,2.4554138,2.4370117
59299.765545638664,,2.4074554
59299.767212308114,2.2656403,2.3959808
59299.768878977564,,2.349228
59299.770545647014,,2.3533783
59299.772212316464,,2.3190308
59299.773878985914,,
59299.775545655364,2.0226593,2.309204
59299.777212324814,,2.2950897
59299.778878994264,,2.3031616
59299.780545663714,,
59299.782212333164,,
59299.783879002614,,2.2950134
59299.785545672064,,2.276413
59299.787212341515,,2.2846375
59299.788879010965,,2.307846
59299.790545680415,,2.3169403
59299.792212349865,,2.3245544
59299.793879019315,2.0438843,2.319336
59299.79554568877,,2.3409424
59299.79721235822,,2.351471
59299.79887902767,,2.3663025
59299.80054569712,2.160904,2.3586273
59299.80221236657,,2.3856354
59299.80387903602,,2.3896484
59299.80554570547,,
59299.80721237492,2.2422943,2.4205933
59299.80887904437,2.386032,2.432602
59299.81054571382,2.4186554,2.4722595
59299.81221238327,2.4369507,2.4342194
59299.81387905272,2.4599152,2.440155
59299.81554572217,2.4522247,2.3967438
59299.81721239162,2.4545593,2.415924
59299.81887906107,2.479248,2.3977814
59299.82054573052,2.4728394,2.373932
59299.82221239997,2.4810028,2.360443
59299.82387906942,2.456543,2.384842
59299.82554573888,2.467102,2.360321
59299.82721240833,2.482071,2.3829346
59299.82887907778,,2.401535
59299.83054574723,2.4788055,2.4266663
59299.83221241668,2.4864807,2.3741455
59299.83387908613,2.4607239,
59299.83554575558,2.4407501,2.4309845
59299.83721242503,2.4552307,2.453186
59299.83887909448,2.4068756,2.4436493
59299.84054576393,2.316574,
59299.84221243338,2.1313019,2.380066
59299.84387910283,,2.358551
59299.84554577228,,
59299.84721244173,,2.2867126
59299.84887911118,,2.2171783
59299.85054578063,,2.172943
59299.85221245008,,
59299.85387911953,,
59299.85554578899,,
59299.85721245844,,
59299.85887912789,,
59299.86054579734,,
59299.86221246679,,
59299.86387913624,,
59299.86554580569,,
59299.86721247514,,
59299.86887914459,,
59299.87054581404,,
59299.87221248349,,
59299.87387915294,,
59299.87554582239,,
59299.87721249184,,
59299.87887916129,,
59299.88054583074,,
59299.88221250019,,
59299.88387916964,,
59299.88554583909,,
59299.88721250855,,
59299.888879178,,
59299.89054584745,,
59299.8922125169,,
59299.89387918635,,
59299.8955458558,,
59299.89721252525,,
59299.8988791947,,
59299.90054586415,,
59299.9022125336,,
59299.90387920305,,
59299.9055458725,,
59299.90721254195,,
59299.9088792114,,
59299.91054588085,,
59299.9122125503,,
59299.91387921975,,
59299.9155458892,,
59299.917212558656,,
59299.918879228106,,
59299.920545897556,,
59299.922212567006,,
59299.923879236456,,
59299.925545905906,,
59299.927212575356,,
59299.928879244806,,
59299.930545914256,,
59299.932212583706,,
59299.933879253156,,
59299.935545922606,,
59299.937212592056,,
59299.93887926151,,
59299.94054593096,,
59299.94221260041,,
59299.94387926986,,
59299.94554593931,,
59299.947212608764,,
59299.948879278214,,
59299.950545947664,,
59299.952212617114,,
59299.953879286564,,
59299.955545956014,,
59299.957212625464,,
59299.958879294914,,
59299.960545964364,,
59299.962212633814,,
59299.963879303265,,
59299.965545972715,,
59299.967212642165,,
59299.968879311615,,
59299.970545981065,,
59299.972212650515,,
59299.973879319965,,
59299.975545989415,,
59299.97721265887,,
59299.97887932832,,
59299.98054599777,,
59299.98221266722,,
59299.98387933667,,
59299.98554600612,,
59299.98721267557,,
59299.98887934502,,
59299.99054601447,,
59299.99221268392,,
59299.99387935337,,
59299.99554602282,,
59299.99721269227,,
59299.99887936172,,
59300.00054603117,,
59300.00221270062,,
59300.00387937007,,
59300.00554603952,,
59300.00721270897,,
59300.00887937843,,
59300.01054604788,,
59300.01221271733,,
59300.01387938678,,
59300.01554605623,,
59300.01721272568,,
59300.01887939513,,
59300.02054606458,,
59300.02221273403,,
59300.02387940348,,1.6573334
59300.02554607293,,
59300.02721274238,,
59300.02887941183,,
59300.03054608128,,1.8485718
59300.03221275073,,1.9392395
59300.03387942018,,
59300.03554608963,,2.0878448
59300.03721275908,,2.1794434
59300.03887942854,,
59300.04054609799,,2.2209015
59300.04221276744,,2.2426758
59300.04387943689,,2.2657013
59300.04554610634,,2.299942
59300.04721277579,,2.3113556
59300.04887944524,,2.3302307
59300.05054611469,,
59300.05221278414,,2.3383942
59300.05387945359,,2.3773499
59300.05554612304,,2.5608673
59300.05721279249,,2.3979797
59300.05887946194,,2.4202118
59300.06054613139,,2.4401398
59300.06221280084,,2.6221619
59300.06387947029,,2.6134186
59300.06554613974,,2.6351013
59300.06721280919,,2.6173859
59300.06887947865,,2.652649
59300.0705461481,,2.635727
59300.07221281755,,
59300.073879487,,2.5932617
59300.07554615645,,2.5606384
59300.0772128259,,2.559143
59300.07887949535,,2.5662537
59300.0805461648,2.3687897,2.5592194
59300.08221283425,2.4634857,2.5700073
59300.0838795037,2.4719543,2.5594482
59300.08554617315,2.4539032,2.5703583
59300.0872128426,,2.564148
59300.08887951205,,
59300.0905461815,,2.5687866
59300.09221285095,2.4671173,2.5561829
59300.0938795204,2.4656525,2.5666962
59300.09554618985,2.4546661,
59300.0972128593,2.4721832,2.5899506
59300.098879528756,2.4720917,
59300.100546198206,2.466385,2.5903625
59300.102212867656,2.4717102,2.5749054
59300.103879537106,2.4742737,2.590561
59300.105546206556,2.4726105,2.5985718
59300.107212876006,2.4709473,2.5809784
59300.108879545456,2.4803467,2.595749
59300.110546214906,2.478012,2.59169
59300.112212884356,2.488144,2.5913239
59300.113879553806,2.483368,2.5987396
59300.11554622326,2.4803162,2.6128998
59300.11721289271,2.49086,2.594223
59300.11887956216,2.4825897,2.5966187
59300.12054623161,2.4900055,2.5943146
59300.12221290106,2.4921875,2.6075287
59300.12387957051,2.4842072,2.603302
59300.12554623996,2.488968,2.5958557
59300.12721290941,2.488968,2.602707
59300.12887957886,2.4969635,2.6250305
59300.130546248314,2.4865875,2.6038208
59300.132212917764,2.4935608,2.610672
59300.133879587214,2.5013885,2.6057892
59300.135546256664,2.4892273,2.6040344
59300.137212926114,2.4964905,2.59375
59300.138879595565,2.492813,2.6075745
59300.140546265015,2.4993439,2.6225128
59300.142212934465,2.5021515,2.624649
59300.143879603915,2.4963226,2.6059875
